userid	genesymbol	genename	entrezgene
RPAP1	RPAP1	RNA polymerase II associated protein 1	26015
ZNF451	ZNF451	zinc finger protein 451	26036
PPP1R16B	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	26051
DNM3	DNM3	dynamin 3	26052
AUTS2	AUTS2	AUTS2, activator of transcription and developmental regulator	26053
ANKRD17	ANKRD17	ankyrin repeat domain 17	26057
HERC4	HERC4	HECT and RLD domain containing E3 ubiquitin protein ligase 4	26091
SZRD1	SZRD1	SUZ RNA binding domain containing 1	26099
EPC2	EPC2	enhancer of polycomb homolog 2	26122
TCTN3	TCTN3	tectonic family member 3	26123
GAPVD1	GAPVD1	GTPase activating protein and VPS9 domains 1	26130
TRPC4AP	TRPC4AP	transient receptor potential cation channel subfamily C member 4 associated protein	26133
NOC2L	NOC2L	NOC2 like nucleolar associated transcriptional repressor	26155
RSL1D1	RSL1D1	ribosomal L1 domain containing 1	26156
IFT172	IFT172	intraflagellar transport 172	26160
SENP3	SENP3	SUMO1/sentrin/SMT3 specific peptidase 3	26168
GARS	GARS	glycyl-tRNA synthetase	2617
TIPRL	TIPRL	TOR signaling pathway regulator	261726
INTS1	INTS1	integrator complex subunit 1	26173
FBXL6	FBXL6	F-box and leucine rich repeat protein 6	26233
FBXO10	FBXO10	F-box protein 10	26267
FBXO5	FBXO5	F-box protein 5	26271
SACS	SACS	sacsin molecular chaperone	26278
GBE1	GBE1	1,4-alpha-glucan branching enzyme 1	2632
KAT2A	KAT2A	lysine acetyltransferase 2A	2648
DAZAP1	DAZAP1	DAZ associated protein 1	26528
NPAS4	NPAS4	neuronal PAS domain protein 4	266743
GFPT1	GFPT1	glutamine--fructose-6-phosphate transaminase 1	2673
B4GALT1	B4GALT1	beta-1,4-galactosyltransferase 1	2683
RANBP6	RANBP6	RAN binding protein 6	26953
DNAJC2	DNAJC2	DnaJ heat shock protein family (Hsp40) member C2	27000
PELP1	PELP1	proline, glutamate and leucine rich protein 1	27043
SND1	SND1	staphylococcal nuclease and tudor domain containing 1	27044
VPS41	VPS41	VPS41, HOPS complex subunit	27072
AMPD2	AMPD2	adenosine monophosphate deaminase 2	271
AFF4	AFF4	AF4/FMR2 family member 4	27125
STK36	STK36	serine/threonine kinase 36	27148
BRPF3	BRPF3	bromodomain and PHD finger containing 3	27154
NDOR1	NDOR1	NADPH dependent diflavin oxidoreductase 1	27158
AMPD3	AMPD3	adenosine monophosphate deaminase 3	272
TUBGCP4	TUBGCP4	tubulin gamma complex associated protein 4	27229
GPKOW	GPKOW	G-patch domain and KOW motifs	27238
PDCD4	PDCD4	programmed cell death 4	27250
R3HCC1L	R3HCC1L	R3H domain and coiled-coil containing 1 like	27291
GLDC	GLDC	glycine decarboxylase	2731
ZNF638	ZNF638	zinc finger protein 638	27332
HTATSF1	HTATSF1	HIV-1 Tat specific factor 1	27336
GOLGA3	GOLGA3	golgin A3	2802
GOLGA4	GOLGA4	golgin A4	2803
GPI	GPI	glucose-6-phosphate isomerase	2821
PPP2R3B	PPP2R3B	protein phosphatase 2 regulatory subunit B''beta	28227
CCR10	CCR10	C-C motif chemokine receptor 10	2826
HECTD4	HECTD4	HECT domain E3 ubiquitin protein ligase 4	283450
CHAMP1	CHAMP1	chromosome alignment maintaining phosphoprotein 1	283489
PGP	PGP	phosphoglycolate phosphatase	283871
INO80E	INO80E	INO80 complex subunit E	283899
TTLL6	TTLL6	tubulin tyrosine ligase like 6	284076
TMEM102	TMEM102	transmembrane protein 102	284114
FAM71E2	FAM71E2	family with sequence similarity 71 member E2	284418
CCDC141	CCDC141	coiled-coil domain containing 141	285025
C3orf38	C3orf38	chromosome 3 open reading frame 38	285237
ILDR1	ILDR1	immunoglobulin like domain containing receptor 1	286676
GRK6	GRK6	G protein-coupled receptor kinase 6	2870
ANK3	ANK3	ankyrin 3	288
GRB2	GRB2	growth factor receptor bound protein 2	2885
FLVCR1	FLVCR1	feline leukemia virus subgroup C cellular receptor 1	28982
MCTS1	MCTS1	MCTS1, re-initiation and release factor	28985
NOB1	NOB1	NIN1/PSMD8 binding protein 1 homolog	28987
COMMD5	COMMD5	COMM domain containing 5	28991
GRIN2A	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	2903
ZC3H7A	ZC3H7A	zinc finger CCCH-type containing 7A	29066
NDUFAF4	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	29078
THYN1	THYN1	thymocyte nuclear protein 1	29087
ARHGAP35	ARHGAP35	Rho GTPase activating protein 35	2909
FHOD1	FHOD1	formin homology 2 domain containing 1	29109
BRD7	BRD7	bromodomain containing 7	29117
CD274	CD274	CD274 molecule	29126
RACGAP1	RACGAP1	Rac GTPase activating protein 1	29127
GTF2F1	GTF2F1	general transcription factor IIF subunit 1	2962
GTF2I	GTF2I	general transcription factor IIi	2969
GTF3C1	GTF3C1	general transcription factor IIIC subunit 1	2975
GTF3C2	GTF3C2	general transcription factor IIIC subunit 2	2976
STRN4	STRN4	striatin 4	29888
SEC61A1	SEC61A1	Sec61 translocon alpha 1 subunit	29927
ANAPC4	ANAPC4	anaphase promoting complex subunit 4	29945
NRBP1	NRBP1	nuclear receptor binding protein 1	29959
HIST1H1C	HIST1H1C	histone cluster 1 H1 family member c	3006
HIST1H1D	HIST1H1D	histone cluster 1 H1 family member d	3007
ANXA2	ANXA2	annexin A2	302
HSD17B10	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10	3028
HADHA	HADHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit	3030
HCFC1	HCFC1	host cell factor C1	3054
HTT	HTT	huntingtin	3064
HDAC2	HDAC2	histone deacetylase 2	3066
HDLBP	HDLBP	high density lipoprotein binding protein	3069
NCKAP1L	NCKAP1L	NCK associated protein 1 like	3071
HEXA	HEXA	hexosaminidase subunit alpha	3073
EHD4	EHD4	EH domain containing 4	30844
HIF1A	HIF1A	hypoxia inducible factor 1 alpha subunit	3091
HK1	HK1	hexokinase 1	3098
HK2	HK2	hexokinase 2	3099
HMGB2	HMGB2	high mobility group box 2	3148
AIRE	AIRE	autoimmune regulator	326
APEX1	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	328
HES1	HES1	hes family bHLH transcription factor 1	3280
HSD17B4	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	3295
DNAJA1	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	3301
HSPA2	HSPA2	heat shock protein family A (Hsp70) member 2	3306
HSPA4	HSPA4	heat shock protein family A (Hsp70) member 4	3308
HSPA5	HSPA5	heat shock protein family A (Hsp70) member 5	3309
HSPA8	HSPA8	heat shock protein family A (Hsp70) member 8	3312
HSPA9	HSPA9	heat shock protein family A (Hsp70) member 9	3313
HSP90AA1	HSP90AA1	heat shock protein 90 alpha family class A member 1	3320
IARS	IARS	isoleucyl-tRNA synthetase	3376
ICAM1	ICAM1	intercellular adhesion molecule 1	3383
IRF8	IRF8	interferon regulatory factor 8	3394
SLC35E4	SLC35E4	solute carrier family 35 member E4	339665
TMEM173	TMEM173	transmembrane protein 173	340061
ZC3H12D	ZC3H12D	zinc finger CCCH-type containing 12D	340152
OVCH1	OVCH1	ovochymase 1	341350
IDH1	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	3417
IDUA	IDUA	iduronidase, alpha-L-	3425
SYCN	SYCN	syncollin	342898
OR10R2	OR10R2	olfactory receptor family 10 subfamily R member 2	343406
IFIT3	IFIT3	interferon induced protein with tetratricopeptide repeats 3	3437
IFNGR2	IFNGR2	interferon gamma receptor 2	3460
ITIH6	ITIH6	inter-alpha-trypsin inhibitor heavy chain family member 6	347365
IGBP1	IGBP1	immunoglobulin binding protein 1	3476
IGF2R	IGF2R	insulin like growth factor 2 receptor	3482
IGFBP3	IGFBP3	insulin like growth factor binding protein 3	3486
GEN1	GEN1	GEN1, Holliday junction 5' flap endonuclease	348654
JCHAIN	JCHAIN	joining chain of multimeric IgA and IgM	3512
IGKC	IGKC	immunoglobulin kappa constant	3514
ZNF445	ZNF445	zinc finger protein 445	353274
FAS	FAS	Fas cell surface death receptor	355
IL2RG	IL2RG	interleukin 2 receptor subunit gamma	3561
IL6ST	IL6ST	interleukin 6 signal transducer	3572
ILF2	ILF2	interleukin enhancer binding factor 2	3608
ILF3	ILF3	interleukin enhancer binding factor 3	3609
IMPA1	IMPA1	inositol monophosphatase 1	3612
INPP5A	INPP5A	inositol polyphosphate-5-phosphatase A	3632
INPP5D	INPP5D	inositol polyphosphate-5-phosphatase D	3635
INPPL1	INPPL1	inositol polyphosphate phosphatase like 1	3636
EIF3E	EIF3E	eukaryotic translation initiation factor 3 subunit E	3646
IREB2	IREB2	iron responsive element binding protein 2	3658
ITGAL	ITGAL	integrin subunit alpha L	3683
ITGAM	ITGAM	integrin subunit alpha M	3684
ITGB2	ITGB2	integrin subunit beta 2	3689
ARAF	ARAF	A-Raf proto-oncogene, serine/threonine kinase	369
ITGB7	ITGB7	integrin subunit beta 7	3695
STT3A	STT3A	STT3A, catalytic subunit of the oligosaccharyltransferase complex	3703
ITPR2	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	3709
JAK3	JAK3	Janus kinase 3	3718
ARCN1	ARCN1	archain 1	372
JARID2	JARID2	jumonji and AT-rich interaction domain containing 2	3720
KARS	KARS	lysyl-tRNA synthetase	3735
MROH7	MROH7	maestro heat like repeat family member 7	374977
MAST4	MAST4	microtubule associated serine/threonine kinase family member 4	375449
SIMC1	SIMC1	SUMO interacting motifs containing 1	375484
ERCC6L2	ERCC6L2	ERCC excision repair 6 like 2	375748
KIF2A	KIF2A	kinesin family member 2A	3796
ARF6	ARF6	ADP ribosylation factor 6	382
KIF22	KIF22	kinesin family member 22	3835
KPNA1	KPNA1	karyopherin subunit alpha 1	3836
IPO5	IPO5	importin 5	3843
KRT9	KRT9	keratin 9	3857
ZKSCAN4	ZKSCAN4	zinc finger with KRAB and SCAN domains 4	387032
C6orf120	C6orf120	chromosome 6 open reading frame 120	387263
RASL11A	RASL11A	RAS like family 11 member A	387496
KMT5A	KMT5A	lysine methyltransferase 5A	387893
SERP2	SERP2	stress associated endoplasmic reticulum protein family member 2	387923
PRR23B	PRR23B	proline rich 23B	389151
PROB1	PROB1	proline rich basic protein 1	389333
C8orf87	C8orf87	chromosome 8 open reading frame 87	389676
VSIG8	VSIG8	V-set and immunoglobulin domain containing 8	391123
LAMP1	LAMP1	lysosomal associated membrane protein 1	3916
LDLR	LDLR	low density lipoprotein receptor	3949
LGALS3	LGALS3	galectin 3	3958
LIG1	LIG1	DNA ligase 1	3978
LIMK1	LIMK1	LIM domain kinase 1	3984
LLGL2	LLGL2	LLGL2, scribble cell polarity complex component	3993
LMNA	LMNA	lamin A/C	4000
LMNB1	LMNB1	lamin B1	4001
KNOP1	KNOP1	lysine rich nucleolar protein 1	400506
LNPEP	LNPEP	leucyl and cystinyl aminopeptidase	4012
LRMP	LRMP	lymphoid restricted membrane protein	4033
PLPP6	PLPP6	phospholipid phosphatase 6	403313
LRPAP1	LRPAP1	LDL receptor related protein associated protein 1	4043
LSP1	LSP1	lymphocyte-specific protein 1	4046
LY9	LY9	lymphocyte antigen 9	4063
CD180	CD180	CD180 molecule	4064
LY75	LY75	lymphocyte antigen 75	4065
LYN	LYN	LYN proto-oncogene, Src family tyrosine kinase	4067
CAPRIN1	CAPRIN1	cell cycle associated protein 1	4076
ARSA	ARSA	arylsulfatase A	410
MAGEA1	MAGEA1	MAGE family member A1	4100
MAN2C1	MAN2C1	mannosidase alpha class 2C member 1	4123
MAN2A1	MAN2A1	mannosidase alpha class 2A member 1	4124
MAP4	MAP4	microtubule associated protein 4	4134
MARS	MARS	methionyl-tRNA synthetase	4141
MAT1A	MAT1A	methionine adenosyltransferase 1A	4143
MCL1	MCL1	BCL2 family apoptosis regulator	4170
MCM3	MCM3	minichromosome maintenance complex component 3	4172
MCM4	MCM4	minichromosome maintenance complex component 4	4173
MCM5	MCM5	minichromosome maintenance complex component 5	4174
MCM6	MCM6	minichromosome maintenance complex component 6	4175
MCM7	MCM7	minichromosome maintenance complex component 7	4176
MDH2	MDH2	malate dehydrogenase 2	4191
ME1	ME1	malic enzyme 1	4199
MEF2C	MEF2C	myocyte enhancer factor 2C	4208
MAP3K1	MAP3K1	mitogen-activated protein kinase kinase kinase 1	4214
MFAP1	MFAP1	microfibrillar associated protein 1	4236
MFNG	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	4242
CIITA	CIITA	class II major histocompatibility complex transactivator	4261
ASAH1	ASAH1	N-acylsphingosine amidohydrolase 1	427
MKI67	MKI67	marker of proliferation Ki-67	4288
MLH1	MLH1	mutL homolog 1	4292
MAP3K11	MAP3K11	mitogen-activated protein kinase kinase kinase 11	4296
AFF1	AFF1	AF4/FMR2 family member 1	4299
DDX12P	DDX12P	DEAD/H-box helicase 12, pseudogene	440081
CCDC88C	CCDC88C	coiled-coil domain containing 88C	440193
UNC13C	UNC13C	unc-13 homolog C	440279
ANKRD18B	ANKRD18B	ankyrin repeat domain 18B	441459
MTR	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	4548
MTX1	MTX1	metaxin 1	4580
TRIM37	TRIM37	tripartite motif containing 37	4591
MVD	MVD	mevalonate diphosphate decarboxylase	4597
MX1	MX1	MX dynamin like GTPase 1	4599
MX2	MX2	MX dynamin like GTPase 2	4600
MYB	MYB	MYB proto-oncogene, transcription factor	4602
MYC	MYC	v-myc avian myelocytomatosis viral oncogene homolog	4609
MYL6	MYL6	myosin light chain 6	4637
MYO1C	MYO1C	myosin IC	4641
MYO1D	MYO1D	myosin ID	4642
MYO1E	MYO1E	myosin IE	4643
MYO7B	MYO7B	myosin VIIB	4648
ATF1	ATF1	activating transcription factor 1	466
NACA	NACA	nascent polypeptide-associated complex alpha subunit	4666
NAGLU	NAGLU	N-acetyl-alpha-glucosaminidase	4669
NBN	NBN	nibrin	4683
NDUFB5	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5	4711
ATM	ATM	ATM serine/threonine kinase	472
NDUFV1	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	4723
NEDD9	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	4739
ATP1A2	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	477
NFATC1	NFATC1	nuclear factor of activated T-cells 1	4772
NFE2L1	NFE2L1	nuclear factor, erythroid 2 like 1	4779
NFKB1	NFKB1	nuclear factor kappa B subunit 1	4790
NFKB2	NFKB2	nuclear factor kappa B subunit 2	4791
NFKBIA	NFKBIA	NFKB inhibitor alpha	4792
TONSL	TONSL	tonsoku-like, DNA repair protein	4796
ATP1B3	ATP1B3	ATPase Na+/K+ transporting subunit beta 3	483
NME4	NME4	NME/NM23 nucleoside diphosphate kinase 4	4833
PNP	PNP	purine nucleoside phosphorylase	4860
NPM1	NPM1	nucleophosmin	4869
ATP2A2	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	488
ATP2A3	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	489
NRCAM	NRCAM	neuronal cell adhesion molecule	4897
NRDC	NRDC	nardilysin convertase	4898
YBX1	YBX1	Y-box binding protein 1	4904
NUMA1	NUMA1	nuclear mitotic apparatus protein 1	4926
NUP98	NUP98	nucleoporin 98	4928
OAS1	OAS1	2'-5'-oligoadenylate synthetase 1	4938
OAS3	OAS3	2'-5'-oligoadenylate synthetase 3	4940
TBC1D25	TBC1D25	TBC1 domain family member 25	4943
TYMSOS	TYMSOS	TYMS opposite strand	494514
ODF2	ODF2	outer dense fiber of sperm tails 2	4957
OGDH	OGDH	oxoglutarate dehydrogenase	4967
OGG1	OGG1	8-oxoguanine DNA glycosylase	4968
ZBTB21	ZBTB21	zinc finger and BTB domain containing 21	49854
ORC4	ORC4	origin recognition complex subunit 4	5000
OXTR	OXTR	oxytocin receptor	5021
SMARCAL1	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1	50485
IL21R	IL21R	interleukin 21 receptor	50615
PAK2	PAK2	p21 (RAC1) activated kinase 2	5062
GEMIN4	GEMIN4	gem nuclear organelle associated protein 4	50628
DCAF8	DCAF8	DDB1 and CUL4 associated factor 8	50717
MYEF2	MYEF2	myelin expression factor 2	50804
HP1BP3	HP1BP3	heterochromatin protein 1 binding protein 3	50809
PCBD1	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	5092
SHANK1	SHANK1	SH3 and multiple ankyrin repeat domains 1	50944
PCDHGC3	PCDHGC3	protocadherin gamma subfamily C, 3	5098
ISOC1	ISOC1	isochorismatase domain containing 1	51015
UBXN1	UBXN1	UBX domain protein 1	51035
TXNDC11	TXNDC11	thioredoxin domain containing 11	51061
PCM1	PCM1	pericentriolar material 1	5108
ADIPOR1	ADIPOR1	adiponectin receptor 1	51094
UTP18	UTP18	UTP18, small subunit processome component	51096
NDUFAF1	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	51103
MRPS2	MRPS2	mitochondrial ribosomal protein S2	51116
NAA20	NAA20	N(alpha)-acetyltransferase 20, NatB catalytic subunit	51126
ASB3	ASB3	ankyrin repeat and SOCS box containing 3	51130
PHF11	PHF11	PHD finger protein 11	51131
PCNT	PCNT	pericentrin	5116
HSPA14	HSPA14	heat shock protein family A (Hsp70) member 14	51182
HERC5	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	51191
PIGP	PIGP	phosphatidylinositol glycan anchor biosynthesis class P	51227
VRK3	VRK3	vaccinia related kinase 3	51231
HGH1	HGH1	HGH1 homolog	51236
MRPL51	MRPL51	mitochondrial ribosomal protein L51	51258
CDKL3	CDKL3	cyclin dependent kinase like 3	51265
CDK16	CDK16	cyclin dependent kinase 16	5127
UBAP1	UBAP1	ubiquitin associated protein 1	51271
SCAND1	SCAND1	SCAN domain containing 1	51282
TLR7	TLR7	toll like receptor 7	51284
CDK18	CDK18	cyclin dependent kinase 18	5129
GMIP	GMIP	GEM interacting protein	51291
FKBP11	FKBP11	FK506 binding protein 11	51303
PHF21A	PHF21A	PHD finger protein 21A	51317
MEX3C	MEX3C	mex-3 RNA binding family member C	51320
UBR5	UBR5	ubiquitin protein ligase E3 component n-recognin 5	51366
TRPV2	TRPV2	transient receptor potential cation channel subfamily V member 2	51393
COMMD10	COMMD10	COMM domain containing 10	51397
TRAPPC4	TRAPPC4	trafficking protein particle complex 4	51399
PDE3B	PDE3B	phosphodiesterase 3B	5140
POLK	POLK	DNA polymerase kappa	51426
DDX41	DDX41	DEAD-box helicase 41	51428
ANAPC7	ANAPC7	anaphase promoting complex subunit 7	51434
YTHDF2	YTHDF2	YTH N6-methyladenosine RNA binding protein 2	51441
LIMA1	LIMA1	LIM domain and actin binding 1	51474
RTCB	RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase	51493
CTDSPL2	CTDSPL2	CTD small phosphatase like 2	51496
NELFCD	NELFCD	negative elongation factor complex member C/D	51497
SIRT7	SIRT7	sirtuin 7	51547
SIRT6	SIRT6	sirtuin 6	51548
METTL13	METTL13	methyltransferase like 13	51603
PIGT	PIGT	phosphatidylinositol glycan anchor biosynthesis class T	51604
TAF9B	TAF9B	TATA-box binding protein associated factor 9b	51616
DYNC2LI1	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	51626
CYB5R1	CYB5R1	cytochrome b5 reductase 1	51706
POLR3K	POLR3K	RNA polymerase III subunit K	51728
WBP11	WBP11	WW domain binding protein 11	51729
RAPGEF6	RAPGEF6	Rap guanine nucleotide exchange factor 6	51735
ARID4B	ARID4B	AT-rich interaction domain 4B	51742
LUC7L3	LUC7L3	LUC7 like 3 pre-mRNA splicing factor	51747
ERAP1	ERAP1	endoplasmic reticulum aminopeptidase 1	51752
ATP8A2	ATP8A2	ATPase phospholipid transporting 8A2	51761
KDM3B	KDM3B	lysine demethylase 3B	51780
PEX6	PEX6	peroxisomal biogenesis factor 6	5190
PFAS	PFAS	phosphoribosylformylglycinamidine synthase	5198
VIT	VIT	vitrin	5212
PGK1	PGK1	phosphoglycerate kinase 1	5230
SLC25A3	SLC25A3	solute carrier family 25 member 3	5250
PHKG2	PHKG2	phosphorylase kinase catalytic subunit gamma 2	5261
PIGC	PIGC	phosphatidylinositol glycan anchor biosynthesis class C	5279
PIGH	PIGH	phosphatidylinositol glycan anchor biosynthesis class H	5283
PIM1	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	5292
PIK3CD	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	5293
PIK3CG	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	5294
PI4KA	PI4KA	phosphatidylinositol 4-kinase alpha	5297
PI4KB	PI4KB	phosphatidylinositol 4-kinase beta	5298
PKHD1	PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive)	5314
BTBD1	BTBD1	BTB domain containing 1	53339
PLCG2	PLCG2	phospholipase C gamma 2	5336
PLEC	PLEC	plectin	5339
PLOD2	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	5352
PLS3	PLS3	plastin 3	5358
PMAIP1	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	5366
CPSF2	CPSF2	cleavage and polyadenylation specific factor 2	53981
TLR9	TLR9	toll like receptor 9	54106
PNN	PNN	pinin, desmosome associated protein	5411
POLE	POLE	DNA polymerase epsilon, catalytic subunit	5426
POLG	POLG	DNA polymerase gamma, catalytic subunit	5428
POLH	POLH	DNA polymerase eta	5429
POLR2A	POLR2A	RNA polymerase II subunit A	5430
POLR2B	POLR2B	RNA polymerase II subunit B	5431
POLR2E	POLR2E	RNA polymerase II subunit E	5434
POLR2H	POLR2H	RNA polymerase II subunit H	5437
POLRMT	POLRMT	RNA polymerase mitochondrial	5442
SASH3	SASH3	SAM and SH3 domain containing 3	54440
ATAD2B	ATAD2B	ATPase family, AAA domain containing 2B	54454
CCSER2	CCSER2	coiled-coil serine rich protein 2	54462
MIEF1	MIEF1	mitochondrial elongation factor 1	54471
UGT2B28	UGT2B28	UDP glucuronosyltransferase family 2 member B28	54490
PRMT7	PRMT7	protein arginine methyltransferase 7	54496
ATR	ATR	ATR serine/threonine kinase	545
POU2AF1	POU2AF1	POU class 2 associating factor 1	5450
RBM47	RBM47	RNA binding motif protein 47	54502
DHX29	DHX29	DExH-box helicase 29	54505
CCDC93	CCDC93	coiled-coil domain containing 93	54520
WDR44	WDR44	WD repeat domain 44	54521
DLL4	DLL4	delta like canonical Notch ligand 4	54567
DDX56	DDX56	DEAD-box helicase 56	54606
PARP14	PARP14	poly(ADP-ribose) polymerase family member 14	54625
CRLS1	CRLS1	cardiolipin synthase 1	54675
MED1	MED1	mediator complex subunit 1	5469
PPAT	PPAT	phosphoribosyl pyrophosphate amidotransferase	5471
TMED9	TMED9	transmembrane p24 trafficking protein 9	54732
CTSA	CTSA	cathepsin A	5476
PPP1R12C	PPP1R12C	protein phosphatase 1 regulatory subunit 12C	54776
DNAJB12	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	54788
DYM	DYM	dymeclin	54808
AFTPH	AFTPH	aftiphilin	54812
ERCC6L	ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase	54821
SWT1	SWT1	SWT1, RNA endoribonuclease homolog	54823
VPS13C	VPS13C	vacuolar protein sorting 13 homolog C	54832
SLX1A	SLX1A	SLX1 homolog A, structure-specific endonuclease subunit	548593
TOR4A	TOR4A	torsin family 4 member A	54863
TMEM214	TMEM214	transmembrane protein 214	54867
EPS8L1	EPS8L1	EPS8 like 1	54869
ZCCHC2	ZCCHC2	zinc finger CCHC-type containing 2	54877
BCOR	BCOR	BCL6 corepressor	54880
TEX10	TEX10	testis expressed 10	54881
ANKHD1	ANKHD1	ankyrin repeat and KH domain containing 1	54882
NSUN2	NSUN2	NOP2/Sun RNA methyltransferase family member 2	54888
ALKBH5	ALKBH5	alkB homolog 5, RNA demethylase	54890
CDKAL1	CDKAL1	CDK5 regulatory subunit associated protein 1 like 1	54901
FOCAD	FOCAD	focadhesin	54914
DNAAF5	DNAAF5	dynein axonemal assembly factor 5	54919
DUS2	DUS2	dihydrouridine synthase 2	54920
CHTF8	CHTF8	chromosome transmission fidelity factor 8	54921
TMEM161A	TMEM161A	transmembrane protein 161A	54929
TMEM70	TMEM70	transmembrane protein 70	54968
ZNF770	ZNF770	zinc finger protein 770	54989
PPP1CA	PPP1CA	protein phosphatase 1 catalytic subunit alpha	5499
HEATR3	HEATR3	HEAT repeat containing 3	55027
TMEM248	TMEM248	transmembrane protein 248	55069
PPP1R7	PPP1R7	protein phosphatase 1 regulatory subunit 7	5510
SLC6A15	SLC6A15	solute carrier family 6 member 15	55117
HEATR1	HEATR1	HEAT repeat containing 1	55127
ANKZF1	ANKZF1	ankyrin repeat and zinc finger domain containing 1	55139
CDCA8	CDCA8	cell division cycle associated 8	55143
RFWD3	RFWD3	ring finger and WD repeat domain 3	55159
TMEM33	TMEM33	transmembrane protein 33	55161
PNPO	PNPO	pyridoxamine 5'-phosphate oxidase	55163
CEP55	CEP55	centrosomal protein 55	55165
PPP2R1A	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	5518
RIF1	RIF1	replication timing regulatory factor 1	55183
GOLPH3L	GOLPH3L	golgi phosphoprotein 3 like	55204
SETD5	SETD5	SET domain containing 5	55209
FANCI	FANCI	Fanconi anemia complementation group I	55215
NAT10	NAT10	N-acetyltransferase 10	55226
PTPA	PTPA	protein phosphatase 2 phosphatase activator	5524
ELP2	ELP2	elongator acetyltransferase complex subunit 2	55250
ASXL2	ASXL2	additional sex combs like 2, transcriptional regulator	55252
TMEM39A	TMEM39A	transmembrane protein 39A	55254
WDR41	WDR41	WD repeat domain 41	55255
PPP6R3	PPP6R3	protein phosphatase 6 regulatory subunit 3	55291
PPP3CA	PPP3CA	protein phosphatase 3 catalytic subunit alpha	5530
PPP4C	PPP4C	protein phosphatase 4 catalytic subunit	5531
ABCF3	ABCF3	ATP binding cassette subfamily F member 3	55324
PPP3CC	PPP3CC	protein phosphatase 3 catalytic subunit gamma	5533
HJURP	HJURP	Holliday junction recognition protein	55355
PPP6C	PPP6C	protein phosphatase 6 catalytic subunit	5537
MCM10	MCM10	minichromosome maintenance 10 replication initiation factor	55388
PRCC	PRCC	papillary renal cell carcinoma (translocation-associated)	5546
PRCP	PRCP	prolylcarboxypeptidase	5547
PRIM2	PRIM2	primase (DNA) subunit 2	5558
DDX60	DDX60	DExD/H-box helicase 60	55601
DOCK10	DOCK10	dedicator of cytokinesis 10	55619
TRMT1	TRMT1	tRNA methyltransferase 1	55621
AMBRA1	AMBRA1	autophagy and beclin 1 regulator 1	55626
SMPD4	SMPD4	sphingomyelin phosphodiesterase 4	55627
LRRC40	LRRC40	leucine rich repeat containing 40	55631
OSGEP	OSGEP	O-sialoglycoprotein endopeptidase	55644
PIGV	PIGV	phosphatidylinositol glycan anchor biosynthesis class V	55650
DDX27	DDX27	DEAD-box helicase 27	55661
URGCP	URGCP	upregulator of cell proliferation	55665
DENND4C	DENND4C	DENN domain containing 4C	55667
PPP4R3A	PPP4R3A	protein phosphatase 4 regulatory subunit 3A	55671
IWS1	IWS1	IWS1, SUPT6H interacting protein	55677
PACS1	PACS1	phosphofurin acidic cluster sorting protein 1	55690
MAP7D1	MAP7D1	MAP7 domain containing 1	55700
POLR3B	POLR3B	RNA polymerase III subunit B	55703
CCDC88A	CCDC88A	coiled-coil domain containing 88A	55704
IPO9	IPO9	importin 9	55705
POLR3E	POLR3E	RNA polymerase III subunit E	55718
